Timestamp,Emissivity,Object 0x5A Temp (F),Ambient 0x5A Temp (F),Object 0x5B Temp (F),Ambient 0x5B Temp (F)
2025-02-22 10:51:32,0.55,103.37,81.01,103.8,83.1
2025-02-22 10:51:32,0.55,103.37,81.01,103.8,83.1
2025-02-22 10:51:33,0.55,104.05,81.09,105.03,83.21
2025-02-22 10:51:33,0.55,104.05,81.09,105.03,83.21
2025-02-22 10:51:34,0.55,103.91,81.09,105.75,83.21
2025-02-22 10:51:34,0.55,103.91,81.09,105.75,83.21
2025-02-22 10:51:35,0.55,103.84,81.12,105.31,83.32
2025-02-22 10:51:35,0.55,103.84,81.12,105.31,83.32
2025-02-22 10:51:36,0.55,104.85,81.12,108.48,83.32
2025-02-22 10:51:36,0.55,104.85,81.12,108.48,83.32
2025-02-22 10:51:37,0.55,105.03,81.16,110.46,83.32
2025-02-22 10:51:37,0.55,105.03,81.16,110.46,83.32
2025-02-22 10:51:38,0.55,105.75,81.16,115.07,83.39
2025-02-22 10:51:38,0.55,105.75,81.16,115.07,83.39
2025-02-22 10:51:39,0.55,106.93,81.19,119.75,83.57
2025-02-22 10:51:39,0.55,106.93,81.19,119.75,83.57
2025-02-22 10:51:40,0.55,110.35,81.3,119.03,83.68
2025-02-22 10:51:40,0.55,110.35,81.3,119.03,83.68
2025-02-22 10:51:41,0.55,109.96,81.37,109.71,83.82
2025-02-22 10:51:41,0.55,109.96,81.37,109.71,83.82
2025-02-22 10:51:42,0.55,106.79,81.41,105.78,83.89
2025-02-22 10:51:42,0.55,106.79,81.41,105.78,83.89
2025-02-22 10:51:43,0.55,106.11,81.41,106.68,83.86
2025-02-22 10:51:43,0.55,106.11,81.41,106.68,83.86
2025-02-22 10:51:44,0.55,106.29,81.41,108.19,83.86
2025-02-22 10:51:44,0.55,106.29,81.41,108.19,83.86
2025-02-22 10:51:45,0.55,106.43,81.55,109.17,83.97
2025-02-22 10:51:45,0.55,106.43,81.55,109.17,83.97
2025-02-22 10:51:46,0.55,106.57,81.48,109.63,84.0
2025-02-22 10:51:46,0.55,106.57,81.48,109.63,84.0
2025-02-22 10:51:47,0.55,106.36,81.52,109.99,84.04
2025-02-22 10:51:47,0.55,106.36,81.52,109.99,84.04
2025-02-22 10:51:48,0.55,106.25,81.52,109.56,84.07
